iter	Passed	Remaining
1515	12420	3965
1516	12427	3956
1517	12435	3948
1518	12443	3940
1519	12452	3932
1520	12460	3924
1521	12469	3916
1522	12477	3908
1523	12486	3899
1524	12494	3891
1525	12503	3883
1526	12511	3875
1527	12521	3867
1528	12529	3859
1529	12537	3851
1530	12545	3843
1531	12553	3834
1532	12561	3826
1533	12569	3818
1534	12577	3810
1535	12586	3802
1536	12594	3793
1537	12603	3785
1538	12611	3777
1539	12619	3769
1540	12627	3761
1541	12635	3752
1542	12643	3744
1543	12651	3736
1544	12659	3728
1545	12667	3719
1546	12675	3711
1547	12683	3703
1548	12691	3695
1549	12699	3686
1550	12707	3678
1551	12715	3670
1552	12723	3662
1553	12731	3653
1554	12738	3645
1555	12747	3637
1556	12755	3629
1557	12763	3620
1558	12771	3612
1559	12779	3604
1560	12787	3596
1561	12796	3588
1562	12804	3579
1563	12812	3571
1564	12821	3563
1565	12829	3555
1566	12837	3547
1567	12846	3539
1568	12854	3531
1569	12863	3523
1570	12871	3514
1571	12879	3506
1572	12887	3498
1573	12895	3490
1574	12903	3481
1575	12912	3473
1576	12920	3465
1577	12928	3457
1578	12936	3449
1579	12945	3441
1580	12953	3432
1581	12961	3424
1582	12969	3416
1583	12977	3408
1584	12985	3400
1585	12993	3391
1586	13002	3383
1587	13010	3375
1588	13018	3367
1589	13027	3359
1590	13036	3351
1591	13044	3342
1592	13052	3334
1593	13061	3326
1594	13069	3318
1595	13077	3310
1596	13085	3301
1597	13093	3293
1598	13101	3285
1599	13109	3277
1600	13117	3269
1601	13126	3261
1602	13134	3252
1603	13142	3244
1604	13150	3236
1605	13158	3228
1606	13166	3219
1607	13175	3211
1608	13183	3203
1609	13191	3195
1610	13199	3187
1611	13208	3179
1612	13216	3170
1613	13224	3162
1614	13233	3154
1615	13241	3146
1616	13249	3138
1617	13257	3130
1618	13265	3121
1619	13273	3113
1620	13282	3105
1621	13290	3097
1622	13298	3088
1623	13307	3080
1624	13315	3072
1625	13323	3064
1626	13332	3056
1627	13341	3048
1628	13349	3040
1629	13357	3031
1630	13365	3023
1631	13373	3015
1632	13381	3007
1633	13389	2999
1634	13397	2990
1635	13406	2982
1636	13414	2974
1637	13422	2966
1638	13430	2958
1639	13438	2949
1640	13446	2941
1641	13455	2933
1642	13463	2925
1643	13471	2917
1644	13479	2908
1645	13487	2900
1646	13495	2892
1647	13504	2884
1648	13512	2876
1649	13520	2867
1650	13528	2859
1651	13536	2851
1652	13545	2843
1653	13553	2835
1654	13561	2827
1655	13569	2818
1656	13577	2810
1657	13585	2802
1658	13594	2794
1659	13602	2786
1660	13610	2777
1661	13618	2769
1662	13626	2761
1663	13634	2753
1664	13642	2744
1665	13650	2736
1666	13659	2728
1667	13667	2720
1668	13675	2712
1669	13683	2704
1670	13692	2695
1671	13700	2687
1672	13708	2679
1673	13716	2671
1674	13724	2662
