iter	Passed	Remaining
731	6055	10489
732	6063	10480
733	6071	10471
734	6079	10462
735	6087	10453
736	6095	10445
737	6103	10436
738	6111	10428
739	6119	10419
740	6127	10411
741	6136	10403
742	6144	10395
743	6152	10386
744	6160	10377
745	6167	10368
746	6175	10359
747	6183	10350
748	6192	10342
749	6200	10333
750	6208	10325
751	6217	10318
752	6225	10310
753	6234	10302
754	6242	10294
755	6251	10286
756	6259	10277
757	6267	10269
758	6275	10260
759	6283	10252
760	6291	10243
761	6299	10235
762	6307	10226
763	6315	10217
764	6323	10209
765	6332	10201
766	6340	10192
767	6348	10184
768	6357	10176
769	6365	10167
770	6373	10159
771	6381	10151
772	6389	10142
773	6398	10135
774	6406	10126
775	6414	10117
776	6422	10109
777	6431	10101
778	6439	10093
779	6447	10084
780	6455	10075
781	6464	10068
782	6472	10059
783	6480	10051
784	6488	10043
785	6496	10034
786	6505	10026
787	6513	10018
788	6521	10009
789	6529	10001
790	6537	9992
791	6546	9984
792	6554	9976
793	6562	9967
794	6570	9958
795	6578	9949
796	6586	9941
797	6594	9932
798	6602	9923
799	6610	9915
800	6618	9907
801	6626	9898
802	6633	9888
803	6641	9880
804	6649	9871
805	6657	9862
806	6665	9854
807	6673	9844
808	6681	9836
809	6689	9827
810	6697	9818
811	6705	9810
812	6713	9801
813	6721	9793
814	6729	9785
815	6738	9776
816	6745	9767
817	6754	9759
818	6762	9751
819	6770	9743
820	6778	9734
821	6786	9726
822	6795	9717
823	6803	9709
824	6811	9701
825	6819	9693
826	6828	9684
827	6836	9676
828	6843	9667
829	6852	9658
830	6860	9650
831	6868	9642
832	6876	9634
833	6884	9625
834	6892	9617
835	6901	9608
836	6909	9600
837	6916	9591
838	6925	9582
839	6932	9574
840	6940	9565
841	6949	9557
842	6957	9549
843	6965	9541
844	6973	9532
845	6982	9524
846	6990	9515
847	6998	9507
848	7006	9498
849	7014	9490
850	7022	9481
851	7030	9472
852	7038	9464
853	7046	9456
854	7054	9447
855	7062	9438
856	7070	9430
857	7079	9422
858	7087	9413
859	7095	9405
860	7102	9396
861	7110	9387
862	7118	9379
863	7127	9370
864	7134	9361
865	7143	9353
866	7151	9345
867	7159	9337
868	7167	9328
869	7175	9319
870	7183	9311
871	7191	9302
872	7199	9293
873	7207	9285
874	7215	9276
875	7223	9268
876	7231	9260
877	7240	9252
878	7248	9243
879	7255	9234
880	7264	9226
881	7272	9217
882	7279	9208
883	7288	9200
884	7296	9192
885	7304	9183
886	7312	9176
887	7321	9168
888	7329	9160
889	7338	9151
890	7346	9143
891	7354	9135
892	7362	9127
893	7370	9118
894	7379	9110
895	7387	9101
896	7395	9093
897	7403	9084
898	7411	9076
899	7418	9067
900	7426	9058
901	7435	9050
902	7443	9042
903	7451	9034
904	7459	9025
905	7467	9017
906	7476	9009
907	7484	9000
908	7492	8992
909	7500	8983
910	7508	8975
911	7516	8967
912	7524	8958
913	7532	8949
914	7540	8941
